"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","minute"
"X1109","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","409","2","15","1","0","50%",109
"X3109","EvertonEVE","0","0","5","2","3","0","0","12","1","407","3","14","1","0","50%",109
"X1110","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","411","2","15","1","0","50%",110
"X3110","EvertonEVE","0","0","6","3","3","0","0","13","1","407","3","14","1","0","50%",110
"X1111","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","411","2","15","1","0","50%",111
"X3111","EvertonEVE","0","0","7","3","3","0","0","13","1","415","3","14","1","0","50%",111
"X1112","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","411","2","15","1","0","49%",112
"X3112","EvertonEVE","0","0","7","3","2","0","0","13","1","417","3","14","1","0","51%",112
"X1113","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","411","2","15","1","0","49%",113
"X3113","EvertonEVE","0","0","7","3","2","0","0","13","1","417","3","14","1","0","51%",113
"X1114","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","411","2","15","1","0","49%",114
"X3114","EvertonEVE","0","0","7","3","2","0","0","13","1","417","3","14","1","0","51%",114
"X1115","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",115
"X3115","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",115
"X1116","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",116
"X3116","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",116
"X1117","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",117
"X3117","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",117
"X1118","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",118
"X3118","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",118
"X1119","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",119
"X3119","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",119
"X1120","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",120
"X3120","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",120
"X1121","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",121
"X3121","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",121
"X1122","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",122
"X3122","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",122
"X1123","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",123
"X3123","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",123
"X1124","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",124
"X3124","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",124
"X1125","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",125
"X3125","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",125
"X1126","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",126
"X3126","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",126
"X1127","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",127
"X3127","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",127
"X1128","Manchester UnitedMUN","4","3","16","7","3","1","1","31","4","416","2","15","1","0","50%",128
"X3128","EvertonEVE","0","0","7","3","2","0","0","13","1","427","3","14","1","0","50%",128
"X1129","Manchester UnitedMUN","4","3","16","7","3","1","1","32","4","416","2","15","1","0","50%",129
"X3129","EvertonEVE","0","0","7","3","2","0","0","13","1","426","3","14","1","0","50%",129
"X1130","Manchester UnitedMUN","4","3","16","7","3","1","1","31","4","416","2","15","1","0","50%",130
"X3130","EvertonEVE","0","0","7","3","2","0","0","13","1","427","3","14","1","0","50%",130
"X1131","Manchester UnitedMUN","4","3","16","7","3","1","1","31","4","416","2","15","1","0","50%",131
"X3131","EvertonEVE","0","0","7","3","2","0","0","13","1","427","3","14","1","0","50%",131
"X1132","Manchester UnitedMUN","4","3","16","7","3","1","1","31","4","416","2","15","1","0","50%",132
"X3132","EvertonEVE","0","0","7","3","2","0","0","13","1","427","3","14","1","0","50%",132
"X1133","Manchester UnitedMUN","4","3","16","7","3","1","1","31","4","416","2","15","1","0","50%",133
"X3133","EvertonEVE","0","0","7","3","2","0","0","13","1","427","3","14","1","0","50%",133
"X1134","Manchester UnitedMUN","4","3","16","7","3","1","1","31","4","416","2","15","1","0","50%",134
"X3134","EvertonEVE","0","0","7","3","2","0","0","13","1","427","3","14","1","0","50%",134
