"","team","Goals","Assists","Shots","Shots on Goal","Saves","Penalties Scored","Penalty Kicks","Crosses","Corner Kicks","Passes","Offside","Fouls Committed","Cautions/Yellow Cards","Red Cards","Ball Possession","date","Opponent","GoalsAllowed","GameID","home_away","win_flag","gameweek_points","goal_conversion_total_shots","goal_conversion_shots_on_goal","unassisted_goals","passes_per_goal","fouls_per_yellow_card","fouls_per_red_card","goal_difference","game_week","team_gameweek_id","opp_team_gameweek_id","cumu_points","cumu_goal_difference","cumu_goals","team_standing_rank","opp_standing_rank","standing_difference","close_standing_flag","against_top_6_flag","value_point","points_lag1","points_lag2","points_lag3","opponent_standing_lag1","opponent_standing_lag2","opponent_standing_lag3"
"68","WBA",0,0,7,2,5,0,0,16,3,210,1,8,1,0,0.35,"20171021","SOU",1,"SOUvWBA20171021","away",0,0,0,0,0,Inf,8,Inf,-1,3,"WBA-3","SOU-3",1,-3,2,18,9,-9,0,0,-Inf,1,0,NA,14,4,NA
"69","EVE",2,0,8,3,9,0,0,16,0,214,2,14,1,1,0.39,"20171022","ARS",5,"EVEvARS20171022","home",0,0,0.25,0.666666666666667,2,107,14,14,-3,4,"EVE-4","ARS-4",1,-7,3,20,2,-18,0,1,-Inf,1,0,0,12,6,3
"70","ARS",5,4,30,14,1,0,0,25,7,534,1,14,1,0,0.61,"20171022","EVE",2,"EVEvARS20171022","away",1,3,0.166666666666667,0.357142857142857,1,106.8,14,Inf,3,4,"ARS-4","EVE-4",9,7,11,2,20,18,0,0,6,0,3,3,6,8,18
"71","TOT",4,2,14,6,6,0,0,12,3,299,1,2,0,0,0.38,"20171022","LIV",1,"TOTvLIV20171022","home",1,3,0.285714285714286,0.666666666666667,2,74.75,Inf,Inf,3,3,"TOT-3","LIV-3",9,7,8,2,17,15,0,0,5,3,3,NA,12,19,NA
"72","LIV",1,1,12,7,1,0,0,33,5,563,2,8,1,0,0.62,"20171022","TOT",4,"TOTvLIV20171022","away",0,0,0.0833333333333333,0.142857142857143,0,563,8,Inf,-3,5,"LIV-5","TOT-5",3,-8,3,18,3,-15,0,1,-Inf,1,1,1,11,7,6
"73","MUN",1,1,11,3,4,0,0,29,6,300,2,12,1,0,0.46,"20171028","TOT",0,"MUNvTOT20171028","home",1,3,0.0909090909090909,0.333333333333333,0,300,12,Inf,1,4,"MUN-4","TOT-4",5,0,4,11,3,-8,0,1,-2.66666666666667,0,1,1,15,17,10
"74","TOT",0,0,13,4,2,0,0,20,3,404,1,14,0,0,0.54,"20171028","MUN",1,"MUNvTOT20171028","away",0,0,0,0,0,Inf,Inf,Inf,-1,4,"TOT-4","MUN-4",9,6,8,3,11,8,0,0,Inf,3,3,3,17,12,19
"75","ARS",2,2,17,5,1,0,0,30,5,727,2,9,0,0,0.64,"20171028","SWA",1,"ARSvSWA20171028","home",1,3,0.117647058823529,0.4,0,363.5,Inf,Inf,1,5,"ARS-5","SWA-5",12,8,13,2,17,15,0,0,5,3,0,3,20,6,8
"76","SWA",1,1,4,2,3,0,0,8,2,226,1,9,0,0,0.36,"20171028","ARS",2,"ARSvSWA20171028","away",0,0,0.25,0.5,0,226,Inf,Inf,-1,4,"SWA-4","ARS-4",3,-1,4,15,2,-13,0,1,-Inf,0,3,0,8,20,9
"77","LIV",3,2,16,8,0,0,1,27,9,696,0,10,0,0,0.64,"20171028","HUD",0,"LIVvHUD20171028","home",1,3,0.1875,0.375,1,232,Inf,Inf,3,6,"LIV-6","HUD-6",6,-5,6,14,15,1,1,0,0.333333333333333,0,1,1,3,11,7
"78","HUD",0,0,1,0,5,0,0,5,2,190,1,8,1,0,0.36,"20171028","LIV",3,"LIVvHUD20171028","away",0,0,0,NA,0,Inf,8,Inf,-3,4,"HUD-4","LIV-4",3,-6,2,18,17,-1,1,0,-Inf,3,0,0,16,9,6
"79","CRY",2,1,19,9,0,1,1,36,11,356,3,18,1,0,0.55,"20171028","WHU",2,"CRYvWHU20171028","home",0,1,0.105263157894737,0.222222222222222,1,178,18,Inf,0,5,"CRY-5","WHU-5",4,-2,4,16,14,-2,1,0,-2,0,3,0,5,5,11
"80","WHU",2,1,6,2,7,0,0,19,2,264,1,15,2,0,0.45,"20171028","CRY",2,"CRYvWHU20171028","away",0,1,0.333333333333333,1,1,132,7.5,Inf,0,4,"WHU-4","CRY-4",5,-1,5,12,16,4,0,0,4,0,1,3,12,6,17
"81","WAT",0,0,14,0,1,0,0,47,8,489,4,10,4,0,0.64,"20171028","STK",1,"WATvSTK20171028","home",0,0,0,NA,0,Inf,2.5,Inf,-1,4,"WAT-4","STK-4",6,0,6,9,14,5,0,0,Inf,0,3,3,5,2,16
"82","STK",1,1,6,2,0,0,0,5,1,171,2,9,4,0,0.36,"20171028","WAT",0,"WATvSTK20171028","away",1,3,0.166666666666667,0.5,0,171,2.25,Inf,1,4,"STK-4","WAT-4",4,-5,6,14,9,-5,0,0,-1.66666666666667,0,0,1,14,1,11
"83","WBA",2,1,7,4,2,0,0,10,1,172,5,10,2,0,0.28,"20171028","MCI",3,"WBAvMCI20171028","home",0,0,0.285714285714286,0.5,1,86,5,Inf,-1,4,"WBA-4","MCI-4",1,-4,4,19,1,-18,0,1,-Inf,0,1,0,9,14,4
"84","MCI",3,3,15,5,2,0,0,20,2,860,1,7,3,0,0.72,"20171028","WBA",2,"WBAvMCI20171028","away",1,3,0.2,0.6,0,286.666666666667,2.33333333333333,Inf,1,4,"MCI-4","WBA-4",12,14,18,1,19,18,0,0,6,3,3,3,3,16,20
"85","BOU",0,0,7,1,4,0,0,21,5,403,0,5,2,0,0.44,"20171028","CHE",1,"BOUvCHE20171028","home",0,0,0,0,0,Inf,2.5,Inf,-1,5,"BOU-5","CHE-5",6,-3,4,11,4,-7,0,1,-Inf,3,0,3,14,2,8
"86","CHE",1,1,18,5,1,0,0,22,5,584,5,5,0,0,0.56,"20171028","BOU",0,"BOUvCHE20171028","away",1,3,0.0555555555555556,0.2,0,584,Inf,Inf,1,4,"CHE-4","BOU-4",9,3,8,4,10,6,0,0,2,3,0,3,6,18,12
"87","BHA",1,1,7,2,0,0,0,22,2,413,0,9,3,0,0.51,"20171029","SOU",1,"BHAvSOU20171029","home",0,1,0.142857142857143,0.5,0,413,3,Inf,0,6,"BHA-6","SOU-6",8,2,9,8,12,4,0,0,4,3,1,0,14,20,4
